カード 卡牌
カードの情報 卡牌信息
カード名 卡牌名称
クラス 职业
種類 种类
タイプ 类别
コスト 费用
カードテキスト 卡牌文本
攻撃力 攻击力
体力 体力
トークン 衍生物
トークン情報 衍生物信息
イラスト 插画
フレーバー 背景叙述
レアリティ 稀有度
付帯条項 附带信息
オーナー
マスター

---职业---

ニュートラル 中立
エルフ 精灵
ロイヤル 皇室
ウィッチ 巫师
ドラゴン 龙族
ナイトメア 梦魇
ビショップ 主教

---种类---

フォロワー 从者
アミュレット 护符
エボルヴ 进化后
スペル 法术
リーダー 主战者
トークン 衍生物

---类别---

狂信 狂信
偶像 偶像
信仰 信仰
獣 野兽
鳥族 鸟族
天使 天使
- -
吸血鬼 吸血鬼
死霊術師 死灵术师
死者 死者
魔界 魔界
傭兵 佣兵
巨人 巨人
竜族 龙族
ドラゴニュート 龙人
プリンセス 公主
竜使い 龙族使
海洋 海洋
ゴーレム 巨像
魔法使い 魔法师
魔法生物 魔法生物
錬金術師 炼金术师
暗殺者 暗杀者
忍者 忍者
指揮官 指挥官
兵士 士兵
貴族 贵族
ゴブリン 哥布林
妖精 妖精
植物族 植物族
エルフ族 精灵族
精霊 精霊
虫族 虫族
狩人 猎人
盗賊 盗贼
メイド 女仆
土の印 土之印
不死鳥 不死鸟
キラー 杀人魔
先導 先导
堕天使 堕天使
魔王 魔王
大神 大神
悪魔 恶魔
光輝 光辉

---稀有度---

LG LG
GR GR
SR SR
BR BR
- -
プレミアム 闪卡
SL SL
UR UR

---FAQ---

バトルの準備 对战准备
バトルの進行 对战过程
キーワード 关键字
大会／イベント 大赛/活动
